run_model_name,StaticCapPlan
run_obj_var,vTotalCost
run_obj_value,  4114.94648
run_modstat,8 Integer Solution
run_solstat,1 Normal Completion
run_mip_gap,0.000999
run_solver_time_sec,   681.94200
run_mip_nodes,  3538.00000
run_time_sec,684
cost_total_Musd,  4114.94648
cost_capital_Musd,  2438.69514
cost_ops_Musd,  1676.25133
cost_fixedOM_Musd,   195.13797
cost_varOM_Musd,   140.51452
cost_fuel_Musd,  1144.30003
cost_carbon_Musd,     0.00000
cost_penalty_Musd,     0.00000
cost_maint_Musd,   196.29881
CO2e_total_Mt,    27.18022
CO2e_price_usd_t,     0.00000
energy_total_TWh,    46.10652
avg_price_usd_MWh,    89.24869
energy_non_served_GWh, 0
energy_TWh_wind,     9.24809
energy_TWh_old_coal_sub_st,    17.14378
energy_TWh_old_ng_cc,     7.40788
energy_TWh_old_ng_gt,     0.01719
energy_TWh_new_coal_st,     5.04366
energy_TWh_new_ng_cc,     7.17567
energy_TWh_new_ng_gt_aero,     0.07025
energy_TWh_new_nuke_st,     0.00000
RPS_target_fraction,     0.20000
renew_fraction,     0.20058
shed_GWh_wind,    22.36834
demand_max_GW,     9.29850
data_dur_hr,  8759.52000
cap_new_GW_wind,     3.60000
cap_new_GW_old_coal_sub_st,     0.00000
cap_new_GW_old_ng_cc,     0.00000
cap_new_GW_old_ng_gt,     0.00000
cap_new_GW_new_coal_st,     0.65000
cap_new_GW_new_ng_cc,     1.20000
cap_new_GW_new_ng_gt_aero,     0.63000
cap_new_GW_new_nuke_st,     0.00000
cap_total_GW_wind,     4.00000
cap_total_GW_old_coal_sub_st,     2.29040
cap_total_GW_old_ng_cc,     3.42657
cap_total_GW_old_ng_gt,     0.99018
cap_total_GW_new_coal_st,     0.65000
cap_total_GW_new_ng_cc,     1.20000
cap_total_GW_new_ng_gt_aero,     0.63000
cap_total_GW_new_nuke_st,     0.00000
in_CO2e_cost_usd_ton,      0.00000
in_CO2e_cap_Kt,         +INF
demand_scale,     0.15000
WACC,     0.09000
in_non_served_price_usd_MWh,         +INF
data_dir, ../data/
data_sys, miniE_sys.inc
data_demand, ercot2007_dem_yr_as_14wk.inc
data_fuel, thesis_fuel.inc
data_gens, miniE_units_clust.inc
data_gparams, eia_aeo2011_gen_params.inc
data_avail, ercot2007_avail.inc
uc_integer_wind,          NA
uc_integer_old_coal_sub_st,     1.00000
uc_integer_old_ng_cc,     1.00000
uc_integer_old_ng_gt,     1.00000
uc_integer_new_coal_st,     1.00000
uc_integer_new_ng_cc,     1.00000
uc_integer_new_ng_gt_aero,     1.00000
uc_integer_new_nuke_st,     1.00000
flag_startup, 0
flag_unit_commit, 1
flag_ramp, 1
flag_ignore_integer, 0
flag_uc_lp, 0
flag_avg_avail, 0
flag_ignore_cap_credit, 0
flag_no_capital, 0
valflag_uc_ignore_unit_min, 0
valflag_uc_int_unit_min, 0
flag_uc_lp, 0
valflag_rsrv, off
flag_separate_rsrv, 0
flag_flex_rsrv, 0
flag_no_quick_st, 0
valflag_non_uc_rsrv_up_offline, off
valflag_non_uc_rsrv_down_offline, off
flag_adj_rsrv_for_nse, 0
valflag_rps_penalty, off
flag_force_renewables, 0
flag_fix_cap, 0
flag_max_start, 0
flag_min_up_down, 1
flag_pwl_cost, 0
valflag_p0_recover, 0.85
flag_pwl2afine, 0
valflag_force_gen_size, off
valflag_min_gen_size, off
flag_derate, 0
flag_derate_to_maint, 0
flag_from_scratch, 0
flag_basic_pmin, 0
valflag_plan_margin, off
valflag_plan_margin_penalty, off
flag_overbuild, 1
flag_skip_cap_limit, 0
flag_maint, 1
valflag_max_maint, 0.15
valflag_retire, off
flag_maint_lp, 0
valflag_max_solve_time, 10800
valflag_mip_gap, 0.001
valflag_par_threads, 1
flag_priority, 0
valflag_cheat, off
valflag_rel_cheat, 0
model_num_eq,214385
model_num_var,155590
model_num_discrete_var,49691
model_num_nonzero,984233
